종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
338100,NH프라임리츠,KOSPI,서비스업,4375,20,0.46,81637500000
34310,NICE,KOSPI,서비스업,10740,-110,-1.01,402787342980
30190,NICE평가정보,KOSPI,서비스업,10390,-90,-0.86,624518691300
8260,NI스틸,KOSPI,철강금속,4230,75,1.81,120978494910
4250,NPC,KOSPI,화학,4715,50,1.07,173134800000
4255,NPC우,KOSPI,화학,2570,-20,-0.77,13569600000
456040,OCI,KOSPI,화학,99700,-600,-0.6,892563751500
10060,OCI홀딩스,KOSPI,기타금융,86100,-200,-0.23,1684458936300
178920,PI첨단소재,KOSPI,화학,28150,200,0.72,826661964300
5490,POSCO홀딩스,KOSPI,철강금속,378000,1000,0.27,31967924940000
10950,S-Oil,KOSPI,화학,66700,-700,-1.04,7509272226400
10955,S-Oil우,KOSPI,화학,46550,-50,-0.11,187220701850
34120,SBS,KOSPI,서비스업,16900,-130,-0.76,313515922200
5090,SGC에너지,KOSPI,전기가스업,25300,350,1.4,364556124900
1380,SG글로벌,KOSPI,운수장비,2465,55,2.28,110836612495
4060,SG세계물산,KOSPI,유통업,391,2,0.51,79148159360
1770,SHD,KOSPI,철강금속,16700,200,1.21,20288462600
2360,SH에너지화학,KOSPI,화학,577,6,1.05,64124162210
9160,SIMPAC,KOSPI,철강금속,3675,100,2.8,240453471300
123700,SJM,KOSPI,운수장비,3445,0,0,53758873610
25530,SJM홀딩스,KOSPI,유통업,3735,5,0.13,55778519880
34730,SK,KOSPI,기타금융,156300,1300,0.84,11332172478900
11790,SKC,KOSPI,화학,163200,-900,-0.55,6180106233600
18670,SK가스,KOSPI,유통업,173600,-400,-0.23,1602370358400
1740,SK네트웍스,KOSPI,유통업,4650,-20,-0.43,1028942244300
6120,SK디스커버리,KOSPI,기타금융,36550,-100,-0.27,686623000250
6125,SK디스커버리우,KOSPI,기타금융,32000,50,0.16,43470560000
210980,SK디앤디,KOSPI,서비스업,10480,40,0.38,195110163360
395400,SK리츠,KOSPI,서비스업,4795,10,0.21,1295286195805
302440,SK바이오사이언스,KOSPI,의약품,53100,400,0.76,4079553525000
326030,SK바이오팜,KOSPI,서비스업,79500,500,0.63,6225903375000
402340,SK스퀘어,KOSPI,기타금융,103400,-800,-0.77,13933145864000
361610,SK아이이테크놀로지,KOSPI,전기전자,44500,350,0.79,3172742844000
100090,SK오션플랜트,KOSPI,철강금속,14150,320,2.31,837617287200
03473K,SK우,KOSPI,기타금융,136100,900,0.67,77050973500
96770,SK이노베이션,KOSPI,화학,112300,-200,-0.18,10751106757000
96775,SK이노베이션우,KOSPI,화학,82400,0,0,102870302400
475150,SK이터닉스,KOSPI,건설업,20100,280,1.41,562751177100
1510,SK증권,KOSPI,증권,567,1,0.18,267958626957
1515,SK증권우,KOSPI,증권,1883,-23,-1.21,7367263862
285130,SK케미칼,KOSPI,화학,48350,0,0,834220408050
28513K,SK케미칼우,KOSPI,화학,24900,-100,-0.4,52674182100
17670,SK텔레콤,KOSPI,통신업,51400,-200,-0.39,11040208724200
660,SK하이닉스,KOSPI,전기전자,234000,-2000,-0.85,170352553410000
3570,SNT다이내믹스,KOSPI,운수장비,20650,500,2.48,686668193050
64960,SNT모티브,KOSPI,운수장비,46500,-200,-0.43,679975824000
100840,SNT에너지,KOSPI,기계,12420,100,0.81,256855324860
36530,SNT홀딩스,KOSPI,기타금융,21600,100,0.47,352163937600
5610,SPC삼립,KOSPI,음식료품,56200,200,0.36,484950305800
11810,STX,KOSPI,유통업,7600,-20,-0.26,235736245200
