종목코드	종목명	시장구분	업종명	종가	대비	등락률	시가총액
039570	HDC랩스	KOSPI	건설업	"7,470"	0	0.00	"193,903,279,470"
089470	HDC현대EP	KOSPI	화학	"4,860"	55	1.14	"155,034,000,000"
294870	HDC현대산업개발	KOSPI	건설업	"14,720"	-240	-1.60	"970,155,897,600"
009540	HD한국조선해양	KOSPI	기타금융	"102,600"	-400	-0.39	"7,261,321,701,600"
267250	HD현대	KOSPI	기타금융	"60,900"	-100	-0.16	"4,810,678,876,500"
267270	HD현대건설기계	KOSPI	기계	"51,200"	"3,450"	7.23	"1,008,680,601,600"
322000	HD현대에너지솔루션	KOSPI	전기전자	"24,400"	100	0.41	"273,280,000,000"
042670	HD현대인프라코어	KOSPI	기계	"7,890"	180	2.33	"1,574,871,244,170"
267260	HD현대일렉트릭	KOSPI	전기전자	"84,100"	-500	-0.59	"3,031,564,053,500"
329180	HD현대중공업	KOSPI	운수장비	"121,800"	"-1,700"	-1.38	"10,812,565,528,800"
097230	HJ중공업	KOSPI	건설업	"4,100"	-50	-1.20	"341,424,552,100"
014790	HL D&I	KOSPI	건설업	"2,165"	10	0.46	"81,963,871,165"
003580	HLB글로벌	KOSPI	광업	"3,800"	55	1.47	"161,045,037,400"
204320	HL만도	KOSPI	운수장비	"36,300"	200	0.55	"1,704,543,456,000"
060980	HL홀딩스	KOSPI	기타금융	"33,150"	150	0.45	"337,115,941,500"
011200	HMM	KOSPI	운수창고업	"16,330"	140	0.86	"11,252,014,969,680"
082740	HSD엔진	KOSPI	기계	"9,200"	-320	-3.36	"658,204,744,800"
035000	HS애드	KOSPI	서비스업	"6,330"	-30	-0.47	"104,871,698,970"
003560	IHQ	KOSPI	서비스업	"3,585"	0	0.00	"57,908,659,155"
175330	JB금융지주	KOSPI	기타금융	"10,830"	-110	-1.01	"2,133,324,742,020"
234080	JW생명과학	KOSPI	의약품	"12,680"	50	0.40	"200,782,144,720"
001060	JW중외제약	KOSPI	의약품	"30,750"	600	1.99	"702,177,357,000"
