종목코드	종목명	시장구분	업종명	종가	대비	등락률	시가총액
053270	구영테크	KOSDAQ	운송장비·부품	"2,955"	-25	-0.84	"79,070,859,240"
066620	국보디자인	KOSDAQ	건설	"14,370"	-20	-0.14	"107,775,000,000"
043650	국순당	KOSDAQ	음식료·담배	"5,500"	-130	-2.31	"98,220,672,000"
006050	국영지앤엠	KOSDAQ	비금속	"1,398"	-6	-0.43	"48,783,549,714"
060480	국일신동	KOSDAQ	금속	"2,585"	-10	-0.39	"28,667,650,000"
078130	국일제지	KOSDAQ	종이·목재	800	0	0.00	"102,093,978,400"
307750	국전약품	KOSDAQ	제약	"5,950"	20	0.34	"291,962,150,550"
035080	그래디언트	KOSDAQ	유통	"11,630"	40	0.35	"168,955,801,920"
204020	그리티	KOSDAQ	섬유·의류	"3,290"	40	1.23	"66,285,044,700"
114450	그린생명과학	KOSDAQ	제약	"2,445"	60	2.52	"48,900,000,000"
186230	그린플러스	KOSDAQ	금속	"7,220"	-150	-2.04	"78,121,757,360"
900070	글로벌에스엠	KOSDAQ	금융	585	13	2.27	"31,440,221,280"
204620	글로벌텍스프리	KOSDAQ	금융	"4,790"	65	1.38	"268,465,652,110"
019660	글로본	KOSDAQ	유통	"1,160"	-50	-4.13	"40,357,265,360"
053260	금강철강	KOSDAQ	금속	"5,260"	-20	-0.38	"98,467,200,000"
282720	금양그린파워	KOSDAQ	건설	"13,020"	370	2.92	"157,795,890,000"
036190	금화피에스시	KOSDAQ	건설	"27,050"	100	0.37	"162,300,000,000"
049080	기가레인	KOSDAQ	반도체	"1,251"	-10	-0.79	"106,189,067,097"
420770	기가비스	KOSDAQ	반도체	"68,700"	-500	-0.72	"870,824,574,600"
035460	기산텔레콤	KOSDAQ	통신장비	"2,485"	-5	-0.20	"36,224,689,900"
308100	까스텔바작	KOSDAQ	유통	"4,835"	-70	-1.43	"32,030,584,055"
407400	꿈비	KOSDAQ	기타제조	"10,660"	-240	-2.20	"130,685,992,840"
187790	나노	KOSDAQ	화학	"1,380"	45	3.37	"42,560,345,400"
286750	나노브릭	KOSDAQ	화학	"2,790"	-5	-0.18	"57,497,304,870"
121600	나노신소재	KOSDAQ	화학	"124,300"	"3,900"	3.24	"1,511,472,835,400"
247660	나노씨엠에스	KOSDAQ	일반전기전자	"14,750"	240	1.65	"64,072,820,000"
039860	나노엔텍	KOSDAQ	의료·정밀기기	"3,610"	-30	-0.82	"96,775,533,470"
091970	나노캠텍	KOSDAQ	화학	"1,074"	-16	-1.47	"40,186,387,482"
417010	나노팀	KOSDAQ	기계·장비	"15,010"	-160	-1.05	"287,506,463,280"
405920	나라셀라	KOSDAQ	유통	"6,700"	-120	-1.76	"86,283,109,200"
051490	나라엠앤디	KOSDAQ	기계·장비	"6,070"	-30	-0.49	"86,194,000,000"
137080	나래나노텍	KOSDAQ	기계·장비	"6,100"	0	0.00	"67,462,474,200"
190510	나무가	KOSDAQ	IT부품	"13,070"	-350	-2.61	"212,418,658,880"
242040	나무기술	KOSDAQ	출판·매체복제	"2,150"	-85	-3.80	"74,403,467,600"
089600	나스미디어	KOSDAQ	기타서비스	"20,550"	-350	-1.67	"237,725,749,650"
293580	나우IB	KOSDAQ	금융	"1,416"	-26	-1.80	"135,610,320,000"
138610	나이벡	KOSDAQ	제약	"17,700"	640	3.75	"176,247,378,300"
130580	나이스디앤비	KOSDAQ	기타서비스	"6,140"	-10	-0.16	"94,556,000,000"
036800	나이스정보통신	KOSDAQ	통신서비스	"22,400"	150	0.67	"224,000,000,000"
