allocation_base_date	cash_dividend_payment_date	ticker_symbol	dividend_per_share
20221231	20230407	000500	50
20221231	20230427	000860	500
20221231	20230426	035250	350
20221231	20230424	094480	45
20221231	20230419	061710	0
20221231	20230403	039240	130
20221231	20230411	002100	400
20221231	20230406	009450	500
20221231	20230421	267290	875
20221231	20230426	012320	750
20221231	20230418	011040	400
20221231	20230414	000050	125
20221231	20230414	214390	50
20221231	20230411	012610	50
20221231	20230404	009140	350
20221231	20230421	013580	500
20221231	20230418	012200	25
20221231	20230418	012205	30
20221231	20230421	081630	0
20221231	20230407	002140	25
20221231	20230317	049720	170
20221231	20230330	010130	20000
20221231	20230417	002240	300
20221231	20230405	014570	180
20221231	20230414	950190	92.47
20221231	20230412	389970	0
20221231	20230412	38997K	0
20221231	20230412	38997L	0
20221231	20230414	098460	140
20221231	20230412	123900	90
20221231	20230413	215000	4500
20221231	20230414	121440	163
20221231	20230417	366030	180
20221231	20230407	076340	100
20221231	20230420	009290	100
20221231	20230412	017040	10
20221231	20230418	017900	50
20221231	20230420	037710	2200
20221231	20230316	073980	500
20221231	20230322	374760	0
20221231	20230407	030610	200
20221231	20230425	339770	200
20221231	20230411	053270	30
20221231	20230328	007690	1400
20221231	20230421	066620	400
20221231	20230405	043650	210
20221231	20230407	060480	50
20221231	20230425	063190	0
20221231	20230418	035080	200
20221231	20230407	204020	30
20221231	20230411	083420	150
20221231	20230418	186230	0
20221231	20230418	18623N	5
20221231	20230425	014530	200
20221231	20230426	006250	0
20221231	20230427	083450	300
20221231	20230407	014280	120
20221231	20230407	014285	130
20221231	20230411	053260	120
20221231		282720	350
20221231	20230406	002990	500
20221231	20230406	002995	550
20221231	20230421	011780	5400
20221231	20230421	011785	5450
20221231	20230414	036190	1300
20221231	20230417	420770	750
20221231	20230417	000270	3500
20221231	20230403	409630	0
20221231	20230403	40963K	0
20221231	20230403	40963L	0
20221231	20230428	013700	15
20221231	20230414	121600	250
20221231	20230414	12160M	2186.05
20221231	20230414	12160N	5
20221231	20230331	040970	0
20221231	20230421	358400	0
20221231	20230414	051490	70
20221231	20230427	137080	100
20221231	20230410	293580	180
20221231	20230414	130580	182
20221231	20230418	036800	650
20221231	20230417	030190	370
20221231	20230331	043960	0
20221231	20230421	004270	25
20221231	20230428	003920	1000
20221231	20230428	003925	1050
20221231	20230421	025860	100
20221231	20230420	111710	300
20221231	20230421	091590	200
20221231	20230309	079180	0
20221231	20230413	253590	35
20221231	20230421	212560	100
20221231	20230404	085910	250
20221231	20230407	092730	700
20221231	20230428	005720	110
20221231	20230428	005725	115
20221231	20230428	002350	100
